qid,题目,选项数,选项(|分隔)
trump_personality_honest,Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ...? — Honest,2,Yes | No
trump_personality_dangerous,Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ...? — Dangerous,2,Yes | No
trump_personality_complex,Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ...? — Able to understand complex problems,2,Yes | No
trump_personality_diplomatic,Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ...? — Diplomatic,2,Yes | No
trump_personality_arrogant,Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ...? — Arrogant,2,Yes | No
trump_handling_econ,How much confidence do you have in U.S. President Donald Trump to handle each of the following issues? — Global economic problems,4,A lot of confidence | Some confidence | Not too much confidence | No confidence at all
trump_handling_climate,How much confidence do you have in U.S. President Donald Trump to handle each of the following issues? — Climate change,4,A lot of confidence | Some confidence | Not too much confidence | No confidence at all
trump_handling_china,How much confidence do you have in U.S. President Donald Trump to handle each of the following issues? — Relations between China and the United States,4,A lot of confidence | Some confidence | Not too much confidence | No confidence at all
trump_handling_rusukr,How much confidence do you have in U.S. President Donald Trump to handle each of the following issues? — The conflict between Russia and Ukraine,4,A lot of confidence | Some confidence | Not too much confidence | No confidence at all
trump_handling_isrneigh,How much confidence do you have in U.S. President Donald Trump to handle each of the following issues? — The conflict between Israel and its neighbors,4,A lot of confidence | Some confidence | Not too much confidence | No confidence at all
trump_handling_immigration,How much confidence do you have in U.S. President Donald Trump to handle each of the following issues? — United States' immigration policies,4,A lot of confidence | Some confidence | Not too much confidence | No confidence at all
usdem_works,"Thinking about democracy in the United States, would you say it works very well, somewhat well, somewhat poorly or very poorly?",4,Very well | Somewhat well | Somewhat poorly | Very poorly
conflict_usparties,"In your opinion, in the United States, are the conflicts between people who support different political parties very strong, strong, not very strong or are there no conflicts at all?",4,Very strong conflicts | Strong conflicts | Not very strong conflicts | There are no conflicts at all
econ_power,"Today, which ONE of the following do you think is the world’s leading economic power?",6,The United States | China | Japan | The countries of the European Union | Other | None / There is no leading economic power
us_or_china,Is it more important for (survey country) to have strong economic ties with ...?,4,China | The United States | Economic ties to both countries are equally important | Neither
moral_state,"Generally, how would you rate the morality and ethics of (survey country nationality)s – are their morals very good, somewhat good, somewhat bad or very bad?",4,Very good | Somewhat good | Somewhat bad | Very bad
moral_affair,"Do you personally believe that each of the following is morally acceptable, morally unacceptable, or is it not a moral issue? — Married people having an affair",4,Morally acceptable | Morally unacceptable | Not a moral issue | Depends on situation
moral_homosexuality,"Do you personally believe that each of the following is morally acceptable, morally unacceptable, or is it not a moral issue? — Homosexuality",4,Morally acceptable | Morally unacceptable | Not a moral issue | Depends on situation
moral_abortion,"Do you personally believe that each of the following is morally acceptable, morally unacceptable, or is it not a moral issue? — Having an abortion",4,Morally acceptable | Morally unacceptable | Not a moral issue | Depends on situation
moral_gambling,"Do you personally believe that each of the following is morally acceptable, morally unacceptable, or is it not a moral issue? — Gambling",4,Morally acceptable | Morally unacceptable | Not a moral issue | Depends on situation
moral_contraceptives,"Do you personally believe that each of the following is morally acceptable, morally unacceptable, or is it not a moral issue? — Using contraceptives",4,Morally acceptable | Morally unacceptable | Not a moral issue | Depends on situation
moral_pornography,"Do you personally believe that each of the following is morally acceptable, morally unacceptable, or is it not a moral issue? — Viewing pornography",4,Morally acceptable | Morally unacceptable | Not a moral issue | Depends on situation
moral_marijuana,"Do you personally believe that each of the following is morally acceptable, morally unacceptable, or is it not a moral issue? — Using marijuana",4,Morally acceptable | Morally unacceptable | Not a moral issue | Depends on situation
moral_alcohol,"Do you personally believe that each of the following is morally acceptable, morally unacceptable, or is it not a moral issue? — Drinking alcohol",4,Morally acceptable | Morally unacceptable | Not a moral issue | Depends on situation
moral_divorce,"Do you personally believe that each of the following is morally acceptable, morally unacceptable, or is it not a moral issue? — Getting a divorce",4,Morally acceptable | Morally unacceptable | Not a moral issue | Depends on situation
believe_god,Please choose the statement that comes closer to your own views – even if neither is exactly right.,2,It is NOT necessary to believe in God in order to be moral and have good values | It is necessary to believe in God in order to be moral and have good values
citizen_religion,"Thinking about what it means to be a good member of society, how important are the following aspects? — Attending religious services regularly",4,Very important | Somewhat important | Not too important | Not at all important
citizen_vote,"Thinking about what it means to be a good member of society, how important are the following aspects? — Voting in elections",4,Very important | Somewhat important | Not too important | Not at all important
citizen_follow,"Thinking about what it means to be a good member of society, how important are the following aspects? — Following what is happening in politics in (survey country)",4,Very important | Somewhat important | Not too important | Not at all important
citizen_environment,"Thinking about what it means to be a good member of society, how important are the following aspects? — Making choices that help reduce the effects of global climate change",4,Very important | Somewhat important | Not too important | Not at all important
citizen_protest,"Thinking about what it means to be a good member of society, how important are the following aspects? — Joining demonstrations about issues you think are important",4,Very important | Somewhat important | Not too important | Not at all important
citizen5_religion,"Thinking about what it means to be a good member of society, how important are the following aspects? — Attending religious services regularly",5,Extremely important | Very important | Somewhat important | Not too important | Not at all important
citizen5_vote,"Thinking about what it means to be a good member of society, how important are the following aspects? — Voting in elections",5,Extremely important | Very important | Somewhat important | Not too important | Not at all important
citizen5_follow,"Thinking about what it means to be a good member of society, how important are the following aspects? — Following what is happening in politics in (survey country)",5,Extremely important | Very important | Somewhat important | Not too important | Not at all important
citizen5_environment,"Thinking about what it means to be a good member of society, how important are the following aspects? — Making choices that help reduce the effects of global climate change",5,Extremely important | Very important | Somewhat important | Not too important | Not at all important
citizen5_protest,"Thinking about what it means to be a good member of society, how important are the following aspects? — Joining demonstrations about issues you think are important",5,Extremely important | Very important | Somewhat important | Not too important | Not at all important
polsys_country,"Thinking about (survey country), would you say the political system needs to be completely reformed, needs major changes, needs minor changes, or doesn’t need to be changed?",4,It needs to be completely reformed | It needs major changes | It needs minor changes | It doesn’t need to be changed
elections_four,"How confident are you that elections in (survey country) are conducted fairly and accurately - very confident, somewhat confident, not too confident, or not at all confident?",4,Very confident | Somewhat confident | Not too confident | Not at all confident
elections_five,"How confident are you that elections in (survey country) are conducted fairly and accurately - extremely confident, very confident, somewhat confident, not too confident, or not at all confident?",5,Extremely confident | Very confident | Somewhat confident | Not too confident | Not at all confident
officials_trait_understand,"Thinking about elected officials in (survey country), would you say each of the following statements applies to ...? — They understand the needs of ordinary people",5,All of them | Most of them | Some of them | Few of them | None of them
officials_trait_focus,"Thinking about elected officials in (survey country), would you say each of the following statements applies to ...? — They focus on the most important problems in (survey country)",5,All of them | Most of them | Some of them | Few of them | None of them
officials_trait_qualified,"Thinking about elected officials in (survey country), would you say each of the following statements applies to ...? — They are well-qualified for their positions",5,All of them | Most of them | Some of them | Few of them | None of them
officials_trait_ethical,"Thinking about elected officials in (survey country), would you say each of the following statements applies to ...? — They are ethical",5,All of them | Most of them | Some of them | Few of them | None of them
officials_trait_honest,"Thinking about elected officials in (survey country), would you say each of the following statements applies to ...? — They are honest",5,All of them | Most of them | Some of them | Few of them | None of them
intthreat_climatechange,"Do you think that each of the following is a major threat, a minor threat, or not a threat to (survey country)? — Global climate change",3,Major threat | Minor threat | Not a threat
intthreat_econcondition,"Do you think that each of the following is a major threat, a minor threat, or not a threat to (survey country)? — The condition of the global economy",3,Major threat | Minor threat | Not a threat
intthreat_disease,"Do you think that each of the following is a major threat, a minor threat, or not a threat to (survey country)? — The spread of infectious diseases",3,Major threat | Minor threat | Not a threat
intthreat_misinfo,"Do you think that each of the following is a major threat, a minor threat, or not a threat to (survey country)? — The spread of false information online",3,Major threat | Minor threat | Not a threat
intthreat_terrorism,"Do you think that each of the following is a major threat, a minor threat, or not a threat to (survey country)? — Terrorism",3,Major threat | Minor threat | Not a threat
ai_heard,"Artificial intelligence, also known as AI, is designed to learn tasks that humans typically do, for instance recognizing speech or pictures. Have you heard or read a lot, a little, or nothing at all about artificial intelligence?",3,A lot | A little | Nothing at all
ai_cncexc,"Overall, how would you say the increased use of artificial intelligence in daily life makes you feel?",3,More excited than concerned | More concerned than excited | Equally concerned and excited
aireg_us,How much trust do you have in each of the following countries and organizations to regulate the use of artificial intelligence effectively? — The United States,5,A lot of trust | Some trust | Not too much trust | No trust at all | Not sure
aireg_china,How much trust do you have in each of the following countries and organizations to regulate the use of artificial intelligence effectively? — China,5,A lot of trust | Some trust | Not too much trust | No trust at all | Not sure
aireg_eu,How much trust do you have in each of the following countries and organizations to regulate the use of artificial intelligence effectively? — The European Union,5,A lot of trust | Some trust | Not too much trust | No trust at all | Not sure
aireg_country,How much trust do you have in each of the following countries and organizations to regulate the use of artificial intelligence effectively? — (survey country),5,A lot of trust | Some trust | Not too much trust | No trust at all | Not sure
china_rights,"For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? — China's policies on human rights",4,Very serious problem | Somewhat serious problem | Not too serious of a problem | Not a problem at all
china_econcomp,"For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? — Economic competition with China",4,Very serious problem | Somewhat serious problem | Not too serious of a problem | Not a problem at all
china_milpower,"For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? — China's military power",4,Very serious problem | Somewhat serious problem | Not too serious of a problem | Not a problem at all
china_politics,"For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? — China's involvement in politics in (survey country)",4,Very serious problem | Somewhat serious problem | Not too serious of a problem | Not a problem at all
china_debt,"For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? — The amount of debt (survey country) owes to China",4,Very serious problem | Somewhat serious problem | Not too serious of a problem | Not a problem at all
china_invest,"Which of these statements comes closer to your view, even if neither is exactly right?",2,Investment from China is a good thing because it creates jobs in (survey country) | Investment from China is a bad thing because it gives China too much influence over domestic affairs in (survey country)
us_rights,"For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? — The United States' policies on human rights",4,Very serious problem | Somewhat serious problem | Not too serious of a problem | Not a problem at all
us_econcomp,"For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? — Economic competition with the U.S.",4,Very serious problem | Somewhat serious problem | Not too serious of a problem | Not a problem at all
us_milpower,"For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? — The United States' military power",4,Very serious problem | Somewhat serious problem | Not too serious of a problem | Not a problem at all
us_politics,"For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? — The United States’ involvement in politics in (survey country)",4,Very serious problem | Somewhat serious problem | Not too serious of a problem | Not a problem at all
us_debt,"For each one, tell me if you think it is a very serious problem, a somewhat serious problem, not too serious of a problem, or not a problem at all for (survey country)? — The amount of debt (survey country) owes to the U.S.",4,Very serious problem | Somewhat serious problem | Not too serious of a problem | Not a problem at all
us_invest,"Which of these statements comes closer to your view, even if neither is exactly right?",2,Investment from the U.S. is a good thing because it creates jobs in (survey country) | Investment from the U.S. is a bad thing because it gives the U.S. too much influence over domestic affairs in (survey co
climate_local,"Do you think that global climate change is affecting the area where you live a great deal, some, not too much or not at all?",4,A great deal | Some | Not too much | Not at all
climate_effects,I am going to read you a list of possible effects of global climate change. Which one of these effects concerns you most?,5,Droughts or water shortages | Floods or intense storms | Long periods of unusually hot weather | Rising sea levels | None of these
climate_concern,"How concerned are you, if at all, that global climate change will harm you personally at some point in your lifetime? Are you very concerned, somewhat concerned, not too concerned or not at all concerned?",4,Very concerned | Somewhat concerned | Not too concerned | Not at all concerned
climate_behavior,"How much, if anything, would you be willing to change about how you live and work to help reduce the effects of global climate change?",4,A lot of changes | Some changes | Only a few changes | No changes at all
wealth_emissions,Which of the following do you think should matter more in deciding how much a country does to address global climate change?,2,How wealthy a country is | How much a country’s carbon emissions contribute to climate change
climate_intlcommunity,"How confident are you that actions taken by the international community will significantly reduce the effects of global climate change – very confident, somewhat confident, not too confident, or not at all confident?",4,Very confident | Somewhat confident | Not too confident | Not at all confident
religion_import,"How important is religion in your life: very important, somewhat important, not too important or not at all important?",4,Very important | Somewhat important | Not too important | Not at all important
pray_freq,"Outside of attending religious services, do you pray several times a day, once a day, a few times a week, once a week, a few times a month, less often than that, OR never?",7,Several times a day | Once a day | A few times a week | Once a week | A few times a month | Less often than that | Never
d_ptyid_proximity_lean,"Even if you do not feel particularly close to one party, is there any party you feel somewhat closer to than others?",2,Yes | No
political_scale2,"Some people talk about politics in terms of left, center and right. On a left-right scale from 0 to 6, with 0 indicating extreme left and 6 indicating extreme right, where would you place yourself?",7,Extreme left |  |  |  |  |  | Extreme right
trust_people,Which of the following comes closer to your view?,2,"In general, most people can be trusted | In general, most people cannot be trusted"
internetfreq,"About how often do you use the internet, whether on a computer, tablet or cellphone - almost constantly, several times a day, about once a day, several times a week, less often or do you not use the internet?",6,Almost constantly | Several times a day | About once a day | Several times a week | Less often | Or do you not use the internet
