qid,题目,选项数,选项(|分隔)
b6,"一般来说,您对现在社会上的陌生人是否信任",5,非常不信任 | 不信任 | 一般 | 信任 | 非常信任
b7a,您认为自己属于其中的哪一个群体,2,富人 | 穷人
b7b,您认为自己属于其中的哪一个群体,2,领导、干部 | 群众
b7c,您认为自己属于其中的哪一个群体,2,城里人 | 乡下人
b7d,您认为自己属于其中的哪一个群体,2,有产 | 无产
b7e,您认为自己属于其中的哪一个群体,2,管理者 | 被管理者
b7f,您认为自己属于其中的哪一个群体,2,高学历者 | 低学历者
b7g,您认为自己属于其中的哪一个群体,2,工人阶层 | 白领阶层
b8,"在上述各种类型的群体中,一般而言,您认为哪两类人之间的差异最大",7,穷人与富人之间 | 当官的与老百姓之间 | 城里人与乡下人之间 | 有财产的人与无财产的人之间 | 管理者与被管理者之间 | 高学历者与低学历者之间 | 工人与白领之间
b9,"上述各类型人之间,您认为哪两类人之间最容易出现矛盾和冲突",7,穷人与富人之间 | 当官的与老百姓之间 | 城里人与乡下人之间 | 有财产的人与无财产的人之间 | 管理者与被管理者之间 | 高学历者与低学历者之间 | 工人与白领之间
b1101,"除非必要,我和我的家人从不轻易购买生活必需之外的物品",4,很符合 | 较符合 | 不太符合 | 很不符合
b1102,"我和我的家人过生日或遇上重要节日时,总是到附近餐馆去聚餐",4,很符合 | 较符合 | 不太符合 | 很不符合
b1103,我总是到较有名气的商店去购物,4,很符合 | 较符合 | 不太符合 | 很不符合
b1104,我从事的工作总是很紧张,4,很符合 | 较符合 | 不太符合 | 很不符合
b1105,我出门总是坐出租车或私家小汽车,4,很符合 | 较符合 | 不太符合 | 很不符合
b1106,"我家的耐用消费品大都是名牌,高档",4,很符合 | 较符合 | 不太符合 | 很不符合
b1107,"我家用了好些艺术品,艺术画来装饰家庭气氛",4,很符合 | 较符合 | 不太符合 | 很不符合
b1108,我总是不愿意与哪些生活环境不太好的人来往,4,很符合 | 较符合 | 不太符合 | 很不符合
b1109,"我觉得现在过得很舒适,安逸,生活上没有多少可让我着急的事",4,很符合 | 较符合 | 不太符合 | 很不符合
b1110,"在休息时间,我总是要听些音乐,或欣赏一些艺术作品",4,很符合 | 较符合 | 不太符合 | 很不符合
b1111,我在家里的休息时间多数是看电视度过的,4,很符合 | 较符合 | 不太符合 | 很不符合
b1112,"周末或得闲的时候,我常常与他人一起玩牌或打麻将",4,很符合 | 较符合 | 不太符合 | 很不符合
b1113,我经常去专门的体育场馆或健身房锻炼身体,4,很符合 | 较符合 | 不太符合 | 很不符合
b16new,"下列各类人中,您认为哪些人最应该获得较高的收入",7,工人 | 农民 | 国家干部 | 国有、集体企业经营管理者 | 有技术专长和高学历者 | 有资产的人 | 其他
b17,"比较而言,您认为下列哪类人在近20年来获得的利益最多",7,工人 | 农民 | 国家干部 | 国有、集体企业经营管理者 | 有技术专长和高学历者 | 有资产的人 | 其他
b1801,您是否同意-民主就是政府要为民做主,2,同意 | 不同意
b1802,"您是否同意-只有老百姓对国家和地方的大事都有直接的发言权或决定权,才算是民主",2,同意 | 不同意
b1803,"您是否同意-如果老百姓有权选举自己的代表去讨论国家和地方的大事,也算是民主",2,同意 | 不同意
b1804,"您是否同意-每个人无论水平高低,都有同样的权利讨论国家和地方的大事",2,同意 | 不同意
b1805,"您是否同意-讨论国家和地方的大事需要比较高的知识和能力,所以只能让有较高知识和能力的人参与",2,同意 | 不同意
b1806,"您是否同意-决定国家和地方上的大事,关键是看结果是否对大家有利",2,同意 | 不同意
b1807,"您是否同意-决定国家和地方上的大事,关键是看做出决定的方法是否合理",2,同意 | 不同意
b1808,您是否同意-进城农民工应该享受与城市居民相同的待遇,2,同意 | 不同意
b1809,您是否同意-应该从有钱人那里征收更多的税来帮助穷人,2,同意 | 不同意
b1810,"您是否同意-现在有的人挣的钱多,有的人挣的少,但这是公平的",2,同意 | 不同意
b1811,"您是否同意-只要孩子够努力,够聪明,都能有同样的升学机会",2,同意 | 不同意
b1814,"您是否同意-在我们这个社会,工人和农民的后代与其他人的后代一样,有同样多的机会成为有钱、有地位的人",2,同意 | 不同意
b19a,"过普通人的生活,职业方面至少应该是",4,单位领导或企业老板 | 管理人员或技术人员 | 一般办事人员 | 干体力活也行
b19b,"过普通人的生活,收入方面要达到",5,上等水平 | 中上等水平 | 中等水平 | 中下等水平 | 无所谓
b19c,"过普通人的生活,教育方面要达到",6,初中以上 | 高中以上 | 大专以上 | 本科教育以上 | 研究生以上 | 无所谓
b19d,"过普通人的生活,社会地位方面应该处于",4,很受人尊敬 | 较受人尊敬 | 大家看得起就行 | 别人瞧得起、瞧不起都无所谓
b20,"就您的情况来看,您认为您的生活比普通人的生活怎样",3,超过普通人的生活 | 就是普通人的生活 | 不如普通人
